text,genre,lable
break world real outta easy watch amen tell accident foreign play watch score weed forward suggestion great people truth world yellow rule pass test stay score weaker throw break government wait lack green take read narcissist fuck military england poinsettia blind roll time space close step door necessary stupid youth hell bristol bitch zone mind lean gucci dope weapon mean machine proud boulevard race stay friendly talk city lock check area wire lock bitch picnic story plane salt kill drink teach talk guide yeah weigh hell irish high bitch crunch lock half,jazz,0
crumble thumb build silver see fast life close adgo clean ready teach family write lick tests say fame grow thing come order bath ones support denial slide influence bleed,jazz,0
strength begin consider backbone history race high smoke garbage gray greatest companion school solution get appetite 🍺 rain action smart shame thing gravity spell money progress main sure real balance time smoke global type eat greed chapter planet school movie exactly notice thing,jazz,0
tense smoke face high outta welcome responsible sight artist heavy take tie smoke self association pills sales jail place inspire family success flawless chase straight hell opinions delay watch matter settings drive line spiritual bitch punch zone hard write deal people hell paper church character high jeans plain slide drink people drive like claim colorful quickly future land,jazz,0
mind grand action high dope like accident get rest large real devil rule world help tell city trust diamonds bless drug dope brass go section small fresh weakness sell rival nation cube spring natural drug revel place right deal teach novel life high seat keeper world place good wine bitch world fuck outta smoke strip choice rhyme energy dope like mention drug try truth imagine watch problem bear read sense line fuck choose perfect plastic hell church fuck live horn real feel landlord enter corner cult religion roles want flow fame swear destruction hmmmm smile resort 🍔 lie machine people islands cells crazy draw real hell bright welcome bitch go raise joke bake pipe finger read time yeah wine hero attitude firm time dinner place golden arguments desperate brooklyn trailers space recipe ambitious think reckless empire wanna fuck acura bomb strong literally crown world things result difficult bitch face landlord skeleton nope imitate oklahoma cause range sign world groceries bout watch force picture lyrical straight live fuck call start whip,jazz,0
come possess mouth bitch settle hoe puzzle soft live people personality nutrition paper world think time crime digital today mental world bitch scum faster choose commercial rule,jazz,0
like hook push talent greed truck multi absurd streets look ignore like kn like move government body fake yeah master bug hood smoke talent quickly tell trend fake wish welcome come right tell door ideal stress legend sell check shine whip compare lace deal lock respect surface hell yeah tell side world weakness feel survival different circle muscle buzz read proud hell world,jazz,0
future happen freedom race pot destroy stupid straight dose paper demo oatmeal public fuck damn like fool act commence green fascists type place watch marble roll rule treat progress care run,jazz,0
yeah pollution screen channel world come legs shoe ban station information world whip hour park murder damn nation world bitch roll watch london smarter youth strip president bear try world know 𝙇 search coil feature smoke weapons scientists crime home bless soul like movie cost life dope fuck real,jazz,0
belt immaculate gold tooth strength bitch pipe yeah time order roll welcome spiritual roll international plan political overseas fake chip corner like high college fight money high crave wait forward weapon hell like daddy pool buzz factories course black face,jazz,0
determine drop universe ride need today money territory stupid bar days grade funny world smoke future nope young blah digital hook understand go wanna go monster duty centuries cheat fascism heat dump louder plane smoke like wave act oooh ditch flow opinion look fame tell separate overseas million high tick karma talk get pilot upgrade park enter track need soul exit canadian pool nervous stick welcome,jazz,0
iceberg link blow want game shirt sign high drop gang fashion ride definition tell positive company casually batch young half real bitch like higher problem bitch strength young time consent cloudy stay leader diamonds cause world mind pass alive,jazz,0
buy stay drama giggle money life yeah toilet language gonna fight treatment yell life knock watch like school omega roll like worship figure,jazz,0
straight yt protect paper run bike imitate choose perfect match fuck mind like unity psychological gonna end profit days disease fake tree catch chest sight herd talk people death smoke blow fact enhance high suck circus space time magnificent patiently see million religion turn review think open strike know smoke doxxed hustle see smoke world trap class bitch world rely enemy youth like bend take worship know figure live press sharp hail evil idle years whiskey score california hiphop negative creep designer sweat roll souls youths nose,jazz,0
face commercial slice quick build stay horizontal hell shop like waste world reminder style better absurd teslo world follow picture force great sight admit cape centuries condition depression high sell ahhh spend listen principal immune windows couple miss till wipe shed prix word smile work come teach good know people truth different order stay away time real series strike watch want watch roll envy young meal quality nation pay agenda high stay gate travel smoke easily wrong hell bitch bitch falcon cash lunatic nuclear waste hide designer rewind blame high separate tick stick weed fit teach miracles tooth water remain house get scum bless shop time lunch cake respect people queen meditation throw department communication friendly time guess time,jazz,0
credentials shall designers bitch download dank cowboy speaker reaction drug nation tell suicide know real money enemy clock basic like tell money play garland acid call assume correct bring balance look speed weak attitude haunt humble strike classical myers damage school,jazz,0
rush violence social learn lean shift prison time fame speak daughters waste weapon flight rule leaders guard like drug elevate bullshit cake bristol get time time control gucci usher shit picture lace bitch strike world jones bless fame scum aware jump people species great state fame hell like dope institution dough city dont serial distract code life poverty,jazz,0
city go gate real quarter obey paper proud everybody rough stay flow special enter guess bank welcome piss see news certain face lick crime hook wear brain nose straight time suck fuck rid bible ahhh dust break pay disconnect rewind steal real peak smell time cake male giggle cancel sell catch action cash million world world drug meet people friends bomb situation tour strongly life rhyme religion rest wreck forth hardest thousand real focus drug rash,jazz,0
high eye trust process fake work church tricky peaceful rhyme foot digital right culture shit invention world better person infinite snap need like spread high blind fuck african campaign legs ghost mutation write time mortal best wipe skills bitch tell backyard presume bitch people friendly,jazz,0
right dark window alive dice spot cheap scratch rule hump diamonds sit seed room violate endless like stock rhyme £ religion giggle worlds like welcome cause lord humanity story stop city mean despite alive outta question enemies solution sketch people ignorant clear money space talk arrive plan world extra believe remedy straight vacation work check shit sell real reason bank step convenient know like afford,jazz,0
race breathe toxic world demise frustration shit world bitch rhyme smoke finish mother truth go plan wipe ？ roll fuck rhyme loyalty pastor teach buzz yang tool commercial grab card prudent smoke sell like state dice work fuck commercial bitch california poker,jazz,0
high come bitch stance people teach haha say kind see ghost bru strength brand puzzle woah better roll race work cause drug nation scenes children strip everybody blow streets bring suck smoke kill pearl afford alive protect city position stand pure sit infinite pony example round get people sure like check wave green culture thousand world monsters split right dream wish world fly million straight mouth ride society time opportunity people hint honest delay approved mind,jazz,0
paint house organize try world stay water happen meet enjoy look action enhance smoke time high dumping guarantee denial fuck hail think east place digital streets sample shit face whip underground message live read stories point read world round time forward billion stones ride line suicide cause pure shiba carpet different display conversation beat lock pool time attitude learn satellite give bird twist,jazz,0
date break world death comfy flow face brain jamaica reason hollywood like president innocent fast like world girls distract dirt step consensus felt human roll garage earth wave creep vivid force people life fame flow manage best hand time charge bout future like boundaries quality yeah state pj hard bitch silver peace lazy need legend blow world angle try face chance remedy live hopeless heights days planet witness million cousin beat scenes tokyo face cars agree follow give hold think pour crash total lick rush like,jazz,0
second leader chemicals buzz prosperity count like nemo bout free fuck line roll rate cool school clear trap game know face stay hate money hoe care hell place sell act everybody reason stay real equally strand world sheet right ride work revive dolls future smarter chat austrian real force people pass protect people city smoke heart attempt roll gentle city quit year hard hand wide sell soul surgery hell perfect smoke planet relevant east tick stupid playground thumb planet madness brown time feature mind like learn earth hard smell face folk strike look fatal time pills victims real stop pollution try round money mint glass catch snoop shape mist body cane tick place mind,jazz,0
high competition collect wanna plan days knowledge survival church muscle disgrace body honest shop world drug shoot easily year coast money life weed birthday free everybody plane humanity people shop rule need family middle smoke bow mess personal ones damn haha yeah rule headache money premium atmosphere invade live mechanical reckon toast spirit woo shit outta friend drink fuckin decline crack step world open sell shit different know march fight bug monsters highest tell home musical emergency year shoe look pills manhattan sell dive film business drink state quality sample outta shit netherlands heat blow dope yeah world future absurd things life women real large start sip fuck live golden fuck face commercial thing,jazz,0
crave circle race wide fuck fill notice bright spot mirror sorry weed strong care slow hell shoot come bitch trap wave chronic catch genius sacrifice high measure restrictions pipe youth bitch main press swagger race pirate till remove plain different list squash back world strength crazy internal control pretty plus clear like equality strip real read tell blow hell rewind fame park fuck ways world black youths serve life hawk,jazz,0
run think time college beg school snack strive oxygen afford bubble mind button people nerve tend high sell mind realities holy like touch heritage today eat ball bear like decide world peace rule world spice breakfast smoke bitch read catch greed live lessons rule freeze soul world dope poison lie come sell easily stall movie pay saga lone stay tick smoke gold green drink lord feel watch pill weed world follow overly demand thats invention grand welcome good resort stupid cars oxygen truly yell live dark live take world rope green pride madness evidence plan hat,jazz,0
wise family dragon suppose world stick heel people share like die straight drop high international live learn like world house propaganda bear team mouth charge 🗨 wide sharp technology need upside weed go steel assassins hmmmm female path dope stories suck,jazz,0
cars bitch grand golden lesson face paper presence come sign real yeah rock commercial society think level body like real shop skull race th‼ cause lock start time,jazz,0
miracle bomb right trend cold program door money bitch place spirit white sentence fall consequence button desperate sweat silence credit fallout move weed high neighbor envy hell life perfect light life clock crime city real drink lick time raise hand teach grams flight help garage face guard smoke hear pass testify bout smoke people world real smoke breathe teach,jazz,0
bring people ghost minimum dinner damn drop dryer ways deliver president money month like hold worry mystery go suicide point fix tell come savage stick judge outta monster medicine relevant energy rescued smoke welcome sell machine instagram act impossible presentation global drop backwards short right,jazz,0
sink headphones confidence problem special hungry dont boat trap stack dope legends lazy lyrical youth ways reserve make fool give lean buy seat penalty luxury trap snoop sell confidence money drag honestly fan evil gain walk smoke stay deal actors,jazz,0
people world like time peace world money madness sell cup truth miss smoke daughters look pity grow ghost hate welcome like coat pipe house open heavy strong,jazz,0
players dive estimated coast fuck fuck real paper fantastic match feel crook create weakness shame blue stock smoke talk wanna keep kid different,jazz,0
want teach revolution believe knowledge watch word help tell hunger master come jack straight angle chip second shit like soul drink world ape kings look think outside freeze future queen planet earth dutch days hang plenty award pills time parent time streets early screw like infant know face beg smoke smoke round waste push fantasy rhyme green travel world like man president bitch babes yellow smoke fool catch stress mock smile heavy man cause take run unit everybody world tick world time doubt code wave plot earn team political travel fast richest mention tell live world soul military mean paper tap life grad brink cloud script matter chest know hypocrisy ideas look slice phase accidents evil outta destroy treatment destruction matter offer lean massive reach time snoop girl high bribe season star break go copy stage read school stay peace strong picture open greatest right year break department machine different ride bitch world plastic light vice place life trap state evil biology american explode capture limit things global album gods global movie high inner different wonderful backyard good ones like south section dope unto oooh funny clock accept heart listen evil bitch explode,jazz,0
blueprint sponsor daily see orange breed need jones world death bout unlikely scream play higher arguments abhorrent sense smoke dust hustle slide deal smoke high staffed struggle beast beat read world tick dodge people,jazz,0
smart weed aim cause pakistan ghost world youths drop volcano yeah want matter trust think deal world bring train exist pocket duty thoughts pocket couple solve ring make right money water perfect live larger show grand like goin dodge reach prepare speak thats morals gold sentence ball tell thats stay accept apologies real myth,jazz,0
guess speed pearl reach catch plot paper universe young step competition go straight yeah younger ace real knife high spray green alarm spot sign contain work paper real bring ideas disgust nose know rat japan fake oxygen like control humble years paper yeah view flex cowboy master like state voice problems damn tooth yeah high know drink haha hear know depression rule people church know golden hell plane guru world owe center east bout round away know overwhelm hide bite home yell want brain fence bike strip shit bitch destiny,jazz,0
nation east step life real hype teacher explore pass trick clear zone disease infection kid work fine yeah amp shop pack east stick sell shit fear polio judge nervous special learn thousands till business future fake fast cash fuck tropical read wonder replace carpet message kill open table maple stay psalm demand place lady capture motivate tooth address fence religion leak hell ghost gonna world afloat line hell judgment win say act feel ride gradually real creation level line damn live grade individually sneak truth heavy cover handle public smoke foreign different oooh cool,jazz,0
